seed,node_id,x,y,energy,node_type,sink_distance,neighbors,coverage_contribution,overlap_ratio,node_density,ann_prediction,final_state
42,0,37.45,95.07,1.5,super,56.34,3,0.1449,0.8551,0.2387,ACTIVE,ACTIVE
42,1,73.2,59.87,1.5,super,93.07,13,0.0,1.0,1.0345,SLEEP,SLEEP
42,2,15.6,15.6,1.5,super,138.73,13,0.0,1.0,1.0345,SLEEP,SLEEP
42,3,5.81,86.62,1.5,super,77.27,9,0.0,1.0,0.7162,SLEEP,SLEEP
42,4,60.11,70.81,1.5,super,79.84,9,0.038,0.962,0.7162,SLEEP,SLEEP
42,5,2.06,96.99,1.5,super,71.47,7,0.0,1.0,0.557,SLEEP,SLEEP
42,6,83.24,21.23,1.5,super,132.99,11,0.0,1.0,0.8754,SLEEP,SLEEP
42,7,18.18,18.34,1.5,super,135.45,16,0.0385,0.9615,1.2732,SLEEP,ACTIVE
42,8,30.42,52.48,1.5,super,99.47,13,0.0,1.0,1.0345,SLEEP,SLEEP
42,9,43.19,29.12,1.5,super,121.07,14,0.0,1.0,1.1141,SLEEP,SLEEP
42,10,61.19,13.95,1.0,advanced,136.51,11,0.0,1.0,0.8754,SLEEP,SLEEP
42,11,29.21,36.64,1.0,advanced,115.25,14,0.0,1.0,1.1141,SLEEP,ACTIVE
42,12,45.61,78.52,1.0,advanced,71.62,7,0.1667,0.8333,0.557,ACTIVE,ACTIVE
42,13,19.97,51.42,1.0,advanced,103.05,13,0.013,0.987,1.0345,SLEEP,ACTIVE
42,14,59.24,4.65,1.0,advanced,145.65,7,0.25,0.75,0.557,ACTIVE,ACTIVE
42,15,60.75,17.05,1.0,advanced,133.38,12,0.0,1.0,0.9549,SLEEP,SLEEP
42,16,6.51,94.89,1.0,advanced,70.21,8,0.0,1.0,0.6366,SLEEP,ACTIVE
42,17,96.56,80.84,1.0,advanced,83.37,8,0.0,1.0,0.6366,SLEEP,SLEEP
42,18,30.46,9.77,1.0,advanced,141.59,12,0.0,1.0,0.9549,SLEEP,SLEEP
42,19,68.42,44.02,1.0,advanced,107.57,9,0.0,1.0,0.7162,SLEEP,SLEEP
42,20,12.2,49.52,1.0,advanced,107.36,12,0.0,1.0,0.9549,SLEEP,ACTIVE
42,21,3.44,90.93,1.0,advanced,75.21,8,0.0,1.0,0.6366,SLEEP,SLEEP
42,22,25.88,66.25,1.0,advanced,87.15,11,0.0,1.0,0.8754,SLEEP,ACTIVE
42,23,31.17,52.01,1.0,advanced,99.79,13,0.0,1.0,1.0345,SLEEP,SLEEP
42,24,54.67,18.49,1.0,advanced,131.6,10,0.038,0.962,0.7958,SLEEP,ACTIVE
42,25,96.96,77.51,1.0,advanced,86.37,8,0.05,0.95,0.6366,SLEEP,ACTIVE
42,26,93.95,89.48,1.0,advanced,74.79,7,0.0845,0.9155,0.557,SLEEP,ACTIVE
42,27,59.79,92.19,1.0,advanced,58.64,4,0.3733,0.6267,0.3183,ACTIVE,ACTIVE
42,28,8.85,19.6,1.0,advanced,136.74,7,0.0,1.0,0.557,SLEEP,ACTIVE
42,29,4.52,32.53,1.0,advanced,125.96,7,0.0758,0.9242,0.557,SLEEP,ACTIVE
42,30,38.87,27.13,0.5,normal,123.37,15,0.0,1.0,1.1937,SLEEP,ACTIVE
42,31,82.87,35.68,0.5,normal,118.96,14,0.1899,0.8101,1.1141,SLEEP,ACTIVE
42,32,28.09,54.27,0.5,normal,98.2,12,0.0,1.0,0.9549,SLEEP,SLEEP
42,33,14.09,80.22,0.5,normal,78.48,12,0.0658,0.9342,0.9549,SLEEP,ACTIVE
42,34,7.46,98.69,0.5,normal,66.66,8,0.0208,0.9792,0.6366,SLEEP,SLEEP
42,35,77.22,19.87,0.5,normal,132.95,11,0.0513,0.9487,0.8754,SLEEP,ACTIVE
42,36,0.55,81.55,0.5,normal,84.45,10,0.1064,0.8936,0.7958,SLEEP,ACTIVE
42,37,70.69,72.9,0.5,normal,79.83,12,0.038,0.962,0.9549,SLEEP,SLEEP
42,38,77.13,7.4,0.5,normal,145.15,9,0.3026,0.6974,0.7162,ACTIVE,ACTIVE
42,39,35.85,11.59,0.5,normal,139.13,13,0.0256,0.9744,1.0345,SLEEP,ACTIVE
42,40,86.31,62.33,0.5,normal,94.89,12,0.0127,0.9873,0.9549,SLEEP,SLEEP
42,41,33.09,6.36,0.5,normal,144.64,11,0.0548,0.9452,0.8754,SLEEP,ACTIVE
